,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,842,no,2.2,0,1,no,7,0.6,188,2,2,20,756,2549.0,9,7,19.0,0,0,wifi,medium cost
1,1021,yes,0.5,1,0,yes,53,0.7,136,3,6,905,1988,2631.0,17,3,7.0,1,1,no_wifi,high cost
2,563,yes,0.5,1,2,yes,41,0.9,145,5,6,1263,1716,2603.0,11,2,9.0,1,1,no_wifi,high cost
3,615,yes,2.5,0,0,no,10,0.8,131,6,9,1216,1786,2769.0,16,8,11.0,1,0,no_wifi,high cost
4,1821,yes,1.2,0,13,yes,44,0.6,141,2,14,1208,1212,1411.0,8,2,15.0,1,1,no_wifi,medium cost
5,1859,no,0.5,1,3,no,22,0.7,164,1,7,1004,1654,1067.0,17,1,10.0,1,0,no_wifi,medium cost
6,1821,no,1.7,0,4,yes,10,0.8,139,8,10,381,1018,3220.0,13,8,18.0,1,0,wifi,very high cost
7,1954,no,0.5,1,0,no,24,0.8,187,4,0,512,1149,700.0,16,3,5.0,1,1,wifi,low cost
8,1445,yes,0.5,0,0,no,53,0.7,174,7,14,386,836,1099.0,17,1,20.0,1,0,no_wifi,low cost
9,509,yes,0.6,1,2,yes,9,0.1,93,5,15,1137,1224,513.0,19,10,12.0,1,0,no_wifi,low cost
10,769,yes,2.9,1,0,no,9,0.1,182,5,1,248,874,3946.0,5,2,7.0,0,0,no_wifi,very high cost
11,1520,yes,2.2,0,5,yes,33,0.5,177,8,18,151,1005,3826.0,14,9,13.0,1,1,wifi,very high cost
12,1815,no,2.8,0,2,no,33,0.6,159,4,17,607,748,1482.0,18,0,2.0,1,0,no_wifi,medium cost
13,803,yes,2.1,0,7,no,17,1.0,198,4,11,344,1440,2680.0,7,1,4.0,1,0,wifi,high cost
14,1866,no,0.5,0,13,yes,52,0.7,185,1,17,356,563,373.0,14,9,,1,0,wifi,low cost
15,775,no,1.0,0,3,no,46,0.7,159,2,16,862,1864,568.0,17,15,11.0,1,1,wifi,low cost
16,838,no,0.5,0,1,yes,13,0.1,196,8,4,984,1850,3554.0,10,9,19.0,1,0,wifi,very high cost
17,595,no,0.9,1,7,yes,23,0.1,121,3,17,441,810,3752.0,10,2,18.0,1,1,no_wifi,very high cost
18,1131,yes,0.5,1,11,no,49,0.6,101,5,18,658,878,1835.0,19,13,16.0,1,1,no_wifi,medium cost
19,682,yes,0.5,0,4,no,19,1.0,121,4,11,902,1064,2337.0,11,1,18.0,0,1,wifi,medium cost
20,772,no,1.1,1,12,no,39,0.8,81,7,14,1314,1854,2819.0,17,15,3.0,1,1,no_wifi,very high cost
21,1709,yes,2.1,0,1,no,13,1.0,156,2,2,974,1385,3283.0,17,1,15.0,1,0,no_wifi,very high cost
22,1949,no,2.6,1,4,no,47,0.3,199,4,7,407,822,1433.0,11,5,20.0,0,0,wifi,medium cost
23,1602,yes,2.8,1,4,yes,38,0.7,114,3,20,466,788,1037.0,8,7,20.0,1,0,no_wifi,low cost
24,503,no,1.2,1,5,yes,8,0.4,111,3,13,201,1245,2583.0,11,0,12.0,1,0,no_wifi,medium cost
25,961,yes,1.4,1,0,yes,57,0.6,114,8,3,291,1434,2782.0,18,9,,1,1,wifi,high cost
26,519,yes,1.6,1,7,yes,51,0.3,132,4,19,550,645,3763.0,16,1,4.0,1,0,wifi,very high cost
27,956,no,0.5,0,1,yes,41,1.0,143,7,6,511,1075,3286.0,17,8,12.0,1,1,no_wifi,very high cost
28,1453,no,1.6,1,12,yes,52,0.3,96,2,18,187,1311,2373.0,10,1,10.0,1,1,wifi,high cost
29,851,no,0.5,0,3,no,21,0.4,200,5,7,1171,1263,478.0,12,7,10.0,1,0,wifi,low cost
30,1579,yes,0.5,1,0,no,5,0.2,88,7,9,1358,1739,3532.0,17,11,12.0,0,0,wifi,very high cost
31,1568,yes,0.5,0,16,no,33,1.0,150,8,20,413,654,508.0,5,1,6.0,1,1,wifi,low cost
32,1319,yes,0.9,0,3,yes,41,0.9,107,1,18,85,1152,2227.0,18,5,3.0,1,1,wifi,medium cost
33,1310,yes,2.2,1,0,yes,51,0.6,100,4,0,178,1919,3845.0,7,0,12.0,1,1,no_wifi,very high cost
34,644,yes,2.7,0,0,no,22,0.7,157,8,3,311,881,1262.0,12,1,15.0,1,0,no_wifi,low cost
35,725,no,1.3,1,16,no,60,0.4,160,8,17,1134,1249,1326.0,10,4,15.0,1,0,no_wifi,medium cost
36,589,yes,2.3,1,1,no,61,0.6,160,4,10,429,815,2113.0,13,7,2.0,1,0,wifi,medium cost
37,1725,yes,1.6,1,6,yes,6,0.5,119,2,18,609,1307,3429.0,6,5,4.0,1,1,no_wifi,very high cost
38,790,no,2.0,1,16,yes,11,0.3,87,6,17,347,730,3169.0,6,1,2.0,1,0,wifi,high cost
39,560,no,0.5,1,15,no,50,0.3,159,2,20,1448,1613,2150.0,18,12,11.0,1,1,no_wifi,high cost
40,1347,no,2.9,0,5,no,44,0.6,132,1,14,434,967,2484.0,18,2,11.0,1,0,wifi,high cost
41,1646,yes,2.3,0,8,yes,41,0.2,185,2,10,1725,1932,3339.0,18,10,19.0,1,1,no_wifi,very high cost
42,1253,yes,0.5,1,5,yes,5,0.2,152,2,19,685,714,1878.0,15,0,4.0,1,1,no_wifi,medium cost
43,1656,no,1.0,0,5,yes,34,0.1,166,3,7,880,1889,1629.0,15,12,14.0,1,1,no_wifi,medium cost
44,1195,yes,2.8,0,1,yes,20,0.8,110,2,14,1580,1652,504.0,9,3,12.0,1,1,no_wifi,low cost
45,1514,no,2.9,0,0,no,27,0.2,118,3,1,186,1810,1152.0,8,3,,0,1,wifi,medium cost
46,1723,yes,1.1,1,1,no,42,1.0,164,8,14,202,1791,3587.0,10,5,3.0,1,0,no_wifi,very high cost
47,1054,yes,1.8,1,3,yes,40,0.8,196,7,10,27,774,2296.0,16,12,12.0,1,0,wifi,medium cost
48,578,yes,2.6,1,2,yes,57,0.2,162,8,8,1025,1433,1270.0,15,3,5.0,1,0,wifi,low cost
49,596,no,2.1,1,9,no,64,0.8,111,8,15,885,1854,3238.0,16,13,10.0,0,0,no_wifi,very high cost
50,1547,yes,3.0,1,2,yes,14,0.7,198,3,19,1042,1832,2059.0,5,0,15.0,1,0,wifi,high cost
51,1760,no,1.4,1,5,no,63,0.8,127,8,19,1382,1383,2053.0,19,12,16.0,0,1,no_wifi,high cost
52,1654,yes,1.5,1,0,yes,43,0.3,109,2,0,546,629,3112.0,12,5,10.0,1,1,no_wifi,very high cost
53,1457,no,1.9,1,1,yes,16,0.3,102,3,10,1013,1287,1440.0,17,8,12.0,1,0,wifi,medium cost
54,1073,yes,0.5,1,0,no,51,0.5,145,7,0,690,804,2908.0,6,0,18.0,0,1,no_wifi,high cost
55,1936,no,2.1,1,10,yes,46,0.6,104,3,20,667,1036,2552.0,14,7,13.0,1,0,no_wifi,high cost
56,823,yes,2.7,1,13,no,60,0.5,148,8,19,822,1449,905.0,14,11,17.0,1,1,wifi,low cost
57,987,no,1.3,1,0,yes,61,0.4,107,3,9,581,820,3963.0,9,4,20.0,1,0,wifi,very high cost
58,1757,no,0.5,0,8,no,49,0.5,180,6,14,265,713,2056.0,7,5,4.0,0,0,no_wifi,medium cost
59,1063,no,1.4,1,2,yes,48,1.0,128,5,4,127,683,2910.0,15,13,9.0,1,1,wifi,high cost
60,1484,no,3.0,0,3,no,12,0.6,134,3,5,916,969,1457.0,14,4,20.0,1,1,no_wifi,medium cost
61,799,yes,2.3,0,1,yes,63,0.8,144,8,6,361,975,431.0,15,6,6.0,1,1,wifi,low cost
62,1156,yes,1.2,1,0,yes,50,0.8,159,2,0,322,547,470.0,7,0,15.0,1,1,no_wifi,low cost
63,1720,no,2.0,0,15,yes,55,0.5,168,2,18,753,1353,2148.0,14,2,5.0,1,1,wifi,high cost
64,702,no,2.6,1,2,yes,9,0.7,141,3,3,504,1570,2955.0,10,4,19.0,1,0,no_wifi,high cost
65,616,no,1.9,1,13,yes,44,0.8,81,3,17,651,1618,3366.0,18,8,13.0,1,1,no_wifi,very high cost
66,1358,yes,0.5,0,11,yes,36,0.3,155,4,14,1565,1858,3068.0,9,4,4.0,1,1,no_wifi,very high cost
67,1866,no,1.4,0,0,no,30,0.5,182,3,0,108,1781,3834.0,16,11,8.0,0,0,no_wifi,very high cost
68,1242,no,1.1,1,0,no,10,0.6,165,2,1,459,1225,1050.0,11,1,4.0,1,0,wifi,low cost
